ordinal,mangled_name
315,"?clicked@OMediaCanvasButton@@UAEXPAVOMediaPickResult@@_N@Z"
316,"?clicked@OMediaElement@@UAEXPAVOMediaPickResult@@_N@Z"
317,"?clicked@OMediaScroller@@UAEXPAVOMediaPickResult@@_N@Z"
318,"?clicked@OMediaSlider@@UAEXPAVOMediaPickResult@@_N@Z"
319,"?clicked@OMediaStdButton@@UAEXPAVOMediaPickResult@@_N@Z"
320,"?clicked@OMediaStringField@@UAEXPAVOMediaPickResult@@_N@Z"
321,"?clip_copy@OMediaStringField@@UAEXXZ"
322,"?clip_cut@OMediaStringField@@UAEXXZ"
323,"?clip_line@OMediaBlitter@@SA_NAAF000PAVOMediaShortRect@@@Z"
324,"?clip_paste@OMediaStringField@@UAEXXZ"
325,"?clip_sphere@OMediaElement@@IAE_NAAVOMediaSphere@@AAVOMediaMatrix_4x4@@1@Z"
326,"?clip_tab_buffer@OMediaPipeline@@1PAPAVOMediaPipePoint@@A"
327,"?clip_tab_buffer_size@OMediaPipeline@@1KA"
328,"?close@OMediaFileStream@@UAEXXZ"
329,"?close@OMediaSerialStream@@UAEXXZ"
330,"?close@OMediaSingleWindow@@UAEXXZ"
331,"?close@OMediaWindow@@UAEXXZ"
332,"?close_chunk@OMediaFormattedStream@@UAEXXZ"
333,"?collide@OMediaElement@@UAE_NPAV1@PAVOMediaCollisionCache@@@Z"
334,"?collision_fill_cacheblock@OMediaElement@@IAEXPAVOMediaCollCacheBlock@@@Z"
335,"?colltest_ray_sphe@OMediaElement@@IAE_NAAVOMedia3DPoint@@AAVOMedia3DVector@@PAVOMediaCollCacheBlock@@AAM@Z"
336,"?colltest_ray_tri@OMediaElement@@IAE_NAAVOMedia3DPoint@@AAVOMedia3DVector@@PAVOMediaCollCacheBlock@@PAV2@AAM@Z"
337,"?colltest_sphe_sphe@OMediaElement@@IAE_NPAVOMediaCollCacheBlock@@0@Z"
338,"?colltest_tri_gsphe@OMediaElement@@IAE_NPAVOMediaCollCacheBlock@@0PAVOMedia3DPoint@@@Z"
339,"?colltest_tri_sphe@OMediaElement@@IAE_NPAVOMediaCollCacheBlock@@0PAVOMedia3DPoint@@@Z"
340,"?colltest_tri_tri@OMediaElement@@IAE_NPAVOMediaCollCacheBlock@@0PAVOMedia3DPoint@@1@Z"
341,"?commandLine@OMediaWinStoreStartInfo@@2PADA"
342,"?compact_buffer@OMediaDXSoundEngine@@UAEXXZ"
343,"?compact_buffer@OMediaSoundEngine@@UAEXXZ"
344,"?compress@OMediaCompression@@SAXPAXJ0AAJG@Z"
345,"?compress@OMediaFormattedStream@@UAEXXZ"
